feature,correlation,importance,mi_score,votes
temp_vibration_ratio,0.6390700615257722,0.17432618848045336,0.135512238355737,4
oil_pressure_change_24h,0.6919102948329356,0.12016209937337678,0.13476300613775583,4
vibration_change_7d,0.687937775417248,0.1182152095062099,0.13485448313347714,4
temperature_change_24h,0.6768294152878508,0.11075156130652632,0.13271127221142232,4
oil_pressure_change_7d,0.692354629670249,0.09680339997515354,0.1346743610057648,4
oil_pressure,0.6852206402758647,0.08986506809501306,0.13611886824013886,4
vibration,0.6282816153002628,0.08244066734569283,0.12752916578908924,4
vibration.1,0.6282816153002628,0.06714905868199575,0.12753675156550603,4
vibration_change_24h,0.6872225795158312,0.05041078984101595,0.13454808559062048,4
temperature_change_7d,0.6697977448903186,0.03849792320439302,0.13204716894982704,4
temp_vibration_product,0.475444250432262,0.02549782120572499,0.07344989839158678,4
temp_coolant_diff,0.04581637364762235,0.015411671701933189,0.05394751100028006,4
pressure_temp_ratio,0.21309845974879493,0.005512958267803001,0.046981380496819325,4
oil_pressure_rolling_std_24h,0.1902133141512184,0.0016394566707212536,0.02350609550166749,4
vibration_rolling_std_24h,0.1720929141276873,0.0008004684336237805,0.017765958755014966,4
temperature,0.15637222430385864,0.001220863546568428,0.02164092389495398,3
temperature_rolling_mean_24h,0.018228424641006255,0.00024615745570043924,0.001135465616385778,3
vibration_rolling_mean_24h,0.11469575890130103,0.00023428154547841347,0.007737179661141402,3
vibration_is_increasing,0.18775337926479546,0.00015412590648292986,0.04505483956630574,3
temperature_is_increasing,0.164421853113381,5.400772512355453e-05,0.04846768537328483,3
temperature_rolling_std_24h,0.020220201258171786,1.9617783164289176e-05,0.0007149303902167503,3
