failure_id,equipment_id,failure_date,failure_type,severity,description,root_cause,downtime_hours,repair_cost,prevented_by_maintenance,created_at
1,TRC-180,2008-07-08,Electrical,Minor,Starter motor failure,Worn component,3.0,259.76,False,2025-11-02 19:53:25
2,HRV-030,2008-07-26,Hydraulic,Minor,Loss of hydraulic pressure,Worn hose,5.2,292.31,False,2025-11-02 19:53:25
3,TRC-180,2008-09-10,Other,Critical,Cab door malfunction - Complete equipment shutdown,Normal wear,108.4,6410.62,True,2025-11-02 19:53:25
4,HRV-030,2009-02-28,Hydraulic,Minor,Hydraulic pump failure,Worn hose,4.9,407.17,True,2025-11-02 19:53:25
5,HRV-030,2009-05-27,Mechanical,Minor,Gearbox malfunction,Misalignment,3.4,494.83,False,2025-11-02 19:53:25
6,HRV-030,2009-06-15,Hydraulic,Minor,Hydraulic hose burst during operation,Pressure spike,2.8,316.89,False,2025-11-02 19:53:25
7,TRC-180,2009-07-09,Hydraulic,Minor,Hydraulic fluid contamination,Pressure spike,5.3,268.15,False,2025-11-02 19:53:25
8,HRV-030,2009-12-24,Engine,Moderate,Excessive smoke from exhaust - Reduced operational capability,Age-related wear,14.7,1801.77,False,2025-11-02 19:53:25
9,IRR-013,2010-04-16,Engine,Minor,Excessive smoke from exhaust,Age-related wear,3.8,242.57,True,2025-11-02 19:53:25
10,TRC-180,2010-06-23,Engine,Critical,Excessive smoke from exhaust - Complete equipment shutdown,Overheating,119.1,6203.22,False,2025-11-02 19:53:25
11,TRC-114,2010-08-26,Belt,Minor,Belt slipping under load,Misalignment,5.9,229.27,True,2025-11-02 19:53:25
12,TRC-126,2010-10-05,Engine,Minor,Fuel system malfunction,Age-related wear,2.1,445.68,True,2025-11-02 19:53:25
13,PLT-004,2010-10-12,Tire,Minor,Tire sidewall damage,Excessive wear,5.8,451.45,True,2025-11-02 19:53:25
14,SPR-011,2010-10-25,Engine,Minor,Engine oil leak detected,Age-related wear,4.4,430.16,True,2025-11-02 19:53:25
15,TRC-114,2010-10-31,Tire,Minor,Tire blowout,Improper inflation,4.2,429.54,False,2025-11-02 19:53:25
16,SPR-007,2010-11-30,Electrical,Minor,Electrical short circuit,Corroded connection,5.3,275.68,True,2025-11-02 19:53:25
17,SPR-007,2010-12-24,Tire,Minor,Wheel bearing failure,Age degradation,4.2,321.5,True,2025-11-02 19:53:25
18,TRC-168,2011-01-15,Hydraulic,Moderate,Hydraulic fluid contamination - Reduced operational capability,Seal failure,10.5,1750.54,True,2025-11-02 19:53:25
19,TRC-114,2011-01-27,Mechanical,Minor,Drive shaft damage,Misalignment,5.4,368.51,True,2025-11-02 19:53:25
20,SPR-007,2011-02-08,Engine,Minor,Loss of power under load,Contaminated fuel,3.5,234.31,False,2025-11-02 19:53:25
21,IRR-045,2011-03-03,Engine,Minor,Engine overheating during operation,Worn component,4.1,237.19,False,2025-11-02 19:53:25
22,SPR-011,2011-03-05,Engine,Minor,Excessive smoke from exhaust,Contaminated fuel,5.5,267.05,True,2025-11-02 19:53:25
23,HRV-030,2011-04-08,Mechanical,Critical,Clutch failure - Complete equipment shutdown,Normal wear,52.4,5004.6,False,2025-11-02 19:53:25
24,IRR-013,2011-04-11,Electrical,Moderate,Wiring harness damage - Reduced operational capability,Age-related failure,9.0,1273.91,True,2025-11-02 19:53:25
25,TRC-114,2011-04-16,Engine,Moderate,Engine stalling intermittently - Reduced operational capability,Contaminated fuel,14.8,1921.13,True,2025-11-02 19:53:25
26,TRC-114,2011-05-10,Electrical,Minor,Wiring harness damage,Vibration damage,4.6,484.09,True,2025-11-02 19:53:25
27,TRC-114,2011-06-04,Other,Minor,Seat adjustment failure,Normal wear,5.5,441.79,True,2025-11-02 19:53:25
28,TRC-168,2011-07-20,Hydraulic,Critical,Hydraulic pump failure - Complete equipment shutdown,Seal failure,34.6,9828.77,True,2025-11-02 19:53:25
29,SPR-026,2011-08-27,Electrical,Minor,Starter motor failure,Water damage,2.7,355.6,False,2025-11-02 19:53:25
30,HRV-055,2011-08-31,Mechanical,Minor,Transmission gear failure,Overload,4.1,213.62,False,2025-11-02 19:53:25
31,HRV-030,2011-09-10,Electrical,Critical,Wiring harness damage - Complete equipment shutdown,Water damage,40.1,5575.81,False,2025-11-02 19:53:25
32,SPR-020,2011-09-15,Hydraulic,Moderate,Hydraulic valve malfunction - Reduced operational capability,Pressure spike,8.0,668.62,False,2025-11-02 19:53:25
33,HRV-030,2011-11-14,Electrical,Minor,Wiring harness damage,Age-related failure,5.6,358.63,True,2025-11-02 19:53:25
34,SPR-007,2011-11-22,Hydraulic,Moderate,Hydraulic hose burst during operation - Reduced operational capability,Seal failure,9.2,510.3,False,2025-11-02 19:53:25
35,IRR-013,2011-12-04,Engine,Minor,Loss of power under load,Overheating,5.6,286.99,True,2025-11-02 19:53:25
36,SPR-011,2011-12-19,Hydraulic,Moderate,Hydraulic cylinder leak - Reduced operational capability,Seal failure,20.5,1138.86,False,2025-11-02 19:53:25
37,TRC-114,2012-01-12,Belt,Moderate,Belt tensioner failure - Reduced operational capability,Improper tension,23.4,751.45,True,2025-11-02 19:53:25
38,TRC-126,2012-03-03,Hydraulic,Critical,Hydraulic valve malfunction - Complete equipment shutdown,Seal failure,75.7,7853.47,False,2025-11-02 19:53:25
39,IRR-027,2012-03-11,Hydraulic,Moderate,Hydraulic pump failure - Reduced operational capability,Worn hose,18.5,738.07,True,2025-11-02 19:53:25
40,TRC-126,2012-03-21,Engine,Moderate,Engine overheating during operation - Reduced operational capability,Lack of maintenance,7.3,1871.05,True,2025-11-02 19:53:25
41,TRC-126,2012-04-15,Engine,Moderate,Engine stalling intermittently - Reduced operational capability,Overheating,9.6,1956.32,True,2025-11-02 19:53:25
42,HRV-030,2012-05-03,Mechanical,Moderate,Clutch failure - Reduced operational capability,Normal wear,9.1,749.25,False,2025-11-02 19:53:25
43,IRR-013,2012-05-09,Engine,Critical,Engine overheating during operation - Complete equipment shutdown,Worn component,107.1,5123.66,False,2025-11-02 19:53:25
44,HRV-030,2012-05-21,Hydraulic,Minor,Hydraulic valve malfunction,Pressure spike,3.5,234.14,True,2025-11-02 19:53:25
45,SPR-011,2012-06-03,Electrical,Minor,Wiring harness damage,Water damage,4.8,425.86,False,2025-11-02 19:53:25
46,IRR-009,2012-06-20,Tire,Moderate,Tire puncture - Reduced operational capability,Overload,15.1,553.08,True,2025-11-02 19:53:25
47,TRC-157,2012-07-10,Tire,Minor,Tire blowout,Overload,2.5,259.96,True,2025-11-02 19:53:25
48,SPR-026,2012-08-02,Hydraulic,Minor,Hydraulic hose burst during operation,Contaminated fluid,5.0,413.44,True,2025-11-02 19:53:25
49,TRC-004,2012-08-08,Mechanical,Moderate,Transmission gear failure - Reduced operational capability,Misalignment,19.0,1591.38,False,2025-11-02 19:53:25
50,TRC-136,2012-08-11,Electrical,Minor,Wiring harness damage,Worn component,5.1,451.13,False,2025-11-02 19:53:25
